#	type	rank	key	lemma	dFreq	pattern	pilot	spec	freq	ind	iFreq	tfIdf	tfIdf_norm
131	T	131	a: postérieur	postérieur	87	A	postérieure	3.67	11224	0.16	1808	129,01	1,000
207	T	207	n: circonvolution	circonvolution	78	N	circonvolution	3.88	7568	0.17	1266	97,03	0,744
214	T	214	a: externe	externe	90	A	externe	4.31	8128	0.17	1402	90,31	0,690
314	T	314	n: sillon	sillon	77	N	sillon	4.51	6531	0.17	1100	84,82	0,646
251	T	251	a: hypnotique	hypnotique	43	A	hypnotique	3.65	3629	0.20	736	84,4	0,642
126	T	126	a: cérébral	cérébral	91	A	cérébrale	3.73	7575	0.14	1027	83,24	0,633
400	T	400	na: lame médullaire	lame médullaire	8	N A	lame médullaire	3.51	646	0.16	105	80,75	0,613
152	T	152	n: atrophie	atrophie	84	N	atrophie	4.50	6398	0.27	1709	76,17	0,577
411	T	411	a: musculaire	musculaire	89	A	musculaire	3.80	6308	0.16	1040	70,88	0,534
445	T	445	a: frontal	frontal	87	A	frontale	4.16	5874	0.29	1685	67,52	0,507
371	T	371	n: thalamus	thalamus	21	N	thalamus	3.82	1343	0.46	619	63,95	0,479
164	T	164	n: hypnose	hypnose	35	N	hypnose	4.00	2029	0.70	1416	57,97	0,431
133	T	133	na: couche sagittal	couche sagittal	9	N A	couche sagittale	3.39	499	0.24	122	55,44	0,410
462	T	462	n: hystérie	hystérie	84	N	hystérie	3.66	4635	0.58	2690	55,18	0,408
209	T	209	n: tabes	tabes	41	N	tabes	3.74	2188	0.64	1393	53,37	0,394
295	T	295	na: membre inférieur	membre inférieur	86	N A	membres inférieurs	3.87	4477	0.62	2756	52,06	0,383
487	T	487	n: tion	tion	78	N	tion	4.30	3978	0.74	2931	51	0,375
144	T	144	na: capsule interne	capsule interne	39	N A	capsule interne	3.39	1970	0.99	1946	50,51	0,371
86	T	86	a: psychique	psychique	80	A	psychique	4.00	4039	0.28	1142	50,49	0,371
492	T	492	a: latéral	latéral	86	A	latéral	3.86	4321	0.14	625	50,24	0,369
490	T	490	n: infantilisme	infantilisme	31	N	infantilisme	3.88	1542	0.43	656	49,74	0,365
18	V[s]	60	npna: anatomie du centre nerveux	anatomie du centre nerveux	15	N P N A	ANATOMIE DES CENTRES NERVEUX	3.26	734	1.00	734	48,93	0,358
60	T	60	npna: anatomie du centre nerveux	anatomie du centre nerveux	15	N P N A	ANATOMIE DES CENTRES NERVEUX	3.26	734	1.00	734	48,93	0,358
497	T	497	a: dorsal	dorsal	78	A	dorsale	3.97	3795	0.24	916	48,65	0,356
29	T	29	na: suggestion hypnotique	suggestion hypnotique	30	N A	suggestion hypnotique	3.25	1419	0.92	1311	47,3	0,345
43	T	43	na: noyau caudé	noyau caudé	28	N A	noyau caudé	3.51	1299	0.47	611	46,39	0,338
495	T	495	n: ventricule	ventricule	70	N	ventricule	3.73	3238	0.31	990	46,26	0,337
24	T	24	a: occipital	occipital	77	A	occipital	3.76	3487	0.20	695	45,29	0,329
19	T	19	n: contracture	contracture	84	N	contracture	3.80	3776	0.50	1905	44,95	0,326
328	T	328	n: hémisphère	hémisphère	87	N	hémisphère	3.59	3878	0.34	1331	44,57	0,323
139	T	139	na: corps calleux	corps calleux	55	N A	corps calleux	4.08	2417	0.42	1004	43,95	0,318
99	T	99	na: substance gris	substance gris	66	N A	substance grise	3.46	2893	0.58	1678	43,83	0,317
393	T	393	n: dégénérescence	dégénérescence	82	N	dégénérescence	3.94	3539	0.27	963	43,16	0,312
421	T	421	a: osseux	osseux	75	A	osseuse	4.20	3209	0.19	596	42,79	0,309
172	T	172	a: temporal	temporal	73	A	temporale	3.89	3119	0.22	691	42,73	0,309
106	T	106	na: noyau lenticulaire	noyau lenticulaire	27	N A	noyau lenticulaire	3.44	1117	0.44	489	41,37	0,298
175	T	175	a: pariétal	pariétal	73	A	pariétal	3.57	3008	0.32	953	41,21	0,296
469	T	469	n: contraction	contraction	77	N	contraction	3.59	3156	0.39	1242	40,99	0,295
265	T	265	n: trigone	trigone	25	N	trigone	3.41	1022	0.27	281	40,88	0,294
104	T	104	a: médullaire	médullaire	67	A	médullaire	3.53	2713	0.16	437	40,49	0,291
306	T	306	a: thalamique	thalamique	15	A	thalamique	3.47	600	0.17	103	40	0,287
128	T	128	n: fornix	fornix	8	N	fornix	3.19	313	0.23	73	39,13	0,280
193	T	193	na: segment postérieur	segment postérieur	19	N A	segment postérieur	3.57	741	0.71	527	39	0,279
6	T	6	n: cingulum	cingulum	10	N	cingulum	3.28	383	0.84	320	38,3	0,273
369	T	369	a: médian	médian	85	A	médiane	3.73	3244	0.19	607	38,16	0,272
424	T	424	a: lombaire	lombaire	74	A	lombaire	4.14	2755	0.21	573	37,23	0,264
153	T	153	n: convulsion	convulsion	84	N	convulsions	3.59	3121	0.71	2228	37,15	0,264
298	T	298	n: lobule	lobule	76	N	lobule	3.84	2789	0.17	480	36,7	0,260
475	T	475	n: ganglion	ganglion	77	N	ganglion	4.13	2727	0.28	772	35,42	0,250
473	T	473	a: radiculaire	radiculaire	40	A	radiculaires	3.85	1410	0.13	186	35,25	0,249
387	T	387	na: membre supérieur	membre supérieur	87	N A	membres supérieurs	3.71	3066	0.61	1857	35,24	0,249
118	T	118	n: flexion	flexion	82	N	flexion	4.16	2884	0.29	847	35,17	0,248
301	T	301	n: guérison	guérison	84	N	guérison	3.47	2939	0.63	1855	34,99	0,247
69	T	69	n: charcot	charcot	86	N	Charcot	3.87	2991	0.87	2604	34,78	0,245
156	T	156	n: idiotie	idiotie	70	N	idiotie	4.07	2336	0.42	977	33,37	0,234
170	T	170	na: système nerveux	système nerveux	83	N A	système nerveux	3.44	2745	0.34	940	33,07	0,231
322	T	322	a: pyramidal	pyramidal	58	A	pyramidal	3.98	1907	0.17	325	32,88	0,230
292	T	292	n: orteil	orteil	74	N	orteils	4.08	2426	0.45	1082	32,78	0,229
85	T	85	a: pathologique	pathologique	89	A	pathologique	3.56	2912	0.34	987	32,72	0,228
132	T	132	n: écorce	écorce	76	N	écorce	3.79	2475	0.17	418	32,57	0,227
143	T	143	npn: ruban de reil	ruban de reil	23	N P N	ruban de Reil	3.26	730	0.28	205	31,74	0,220
443	T	443	n: pulvinar	pulvinar	21	N	pulvinar	3.52	661	0.75	494	31,48	0,218
174	T	174	a: périphérique	périphérique	70	A	périphérique	3.26	2191	0.20	434	31,3	0,217
349	T	349	na: noyau rouge	noyau rouge	27	N A	noyau rouge	3.32	840	0.61	509	31,11	0,215
340	T	340	a: cervical	cervical	75	A	cervicale	4.06	2318	0.22	510	30,91	0,214
204	T	204	a: meige	meige	31	A	MEIGE	3.38	958	0.48	456	30,9	0,214
